2020-10-10 18:14:06.861 [main] INFO  com.junction.CameraServerApplication - Starting CameraServerApplication on MS-20170722ZJNZ with PID 10664 (F:\shanxilinxiao\RTSPtoRTMP\target\classes started by Administrator in F:\shanxilinxiao\RTSPtoRTMP)
2020-10-10 18:14:06.863 [main] INFO  com.junction.CameraServerApplication - No active profile set, falling back to default profiles: default
2020-10-10 18:14:07.460 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8082 (http)
2020-10-10 18:14:07.466 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8082"]
2020-10-10 18:14:07.466 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-10-10 18:14:07.466 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.29]
2020-10-10 18:14:07.517 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/camera] - Initializing Spring embedded WebApplicationContext
2020-10-10 18:14:07.518 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 626 ms
2020-10-10 18:14:07.607 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-10-10 18:14:07.638 [main] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - Adding welcome page template: index
2020-10-10 18:14:07.726 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8082"]
2020-10-10 18:14:07.749 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8082 (http) with context path '/camera'
2020-10-10 18:14:07.751 [main] INFO  com.junction.CameraServerApplication - Started CameraServerApplication in 1.214 seconds (JVM running for 1.924)
2020-10-10 18:15:13.617 [http-nio-8082-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/camera] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-10-10 18:15:13.618 [http-nio-8082-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-10-10 18:15:13.622 [http-nio-8082-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 4 ms
2020-10-10 18:28:13.958 [main] INFO  com.junction.CameraServerApplication - Starting CameraServerApplication on MS-20170722ZJNZ with PID 15260 (F:\shanxilinxiao\RTSPtoRTMP\target\classes started by Administrator in F:\shanxilinxiao\RTSPtoRTMP)
2020-10-10 18:28:13.960 [main] INFO  com.junction.CameraServerApplication - No active profile set, falling back to default profiles: default
2020-10-10 18:28:14.550 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8082 (http)
2020-10-10 18:28:14.556 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8082"]
2020-10-10 18:28:14.556 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-10-10 18:28:14.556 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.29]
2020-10-10 18:28:14.611 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/camera] - Initializing Spring embedded WebApplicationContext
2020-10-10 18:28:14.612 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 617 ms
2020-10-10 18:28:14.703 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-10-10 18:28:14.733 [main] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - Adding welcome page template: index
2020-10-10 18:28:14.799 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8082"]
2020-10-10 18:28:14.817 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8082 (http) with context path '/camera'
2020-10-10 18:28:14.820 [main] INFO  com.junction.CameraServerApplication - Started CameraServerApplication in 1.247 seconds (JVM running for 1.883)
2020-10-10 18:28:39.035 [http-nio-8082-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/camera] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-10-10 18:28:39.035 [http-nio-8082-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-10-10 18:28:39.040 [http-nio-8082-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 5 ms
2020-10-10 18:28:39.081 [http-nio-8082-exec-2] INFO  com.junction.controller.CameraController - 打开：rtsp://admin:mxlyj123+@10.2.4.10:11106/MPEG-4/ch1/null/av_stream
2020-10-10 18:29:18.143 [main] INFO  com.junction.CameraServerApplication - Starting CameraServerApplication on MS-20170722ZJNZ with PID 15048 (F:\shanxilinxiao\RTSPtoRTMP\target\classes started by Administrator in F:\shanxilinxiao\RTSPtoRTMP)
2020-10-10 18:29:18.145 [main] INFO  com.junction.CameraServerApplication - No active profile set, falling back to default profiles: default
2020-10-10 18:29:18.757 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8082 (http)
2020-10-10 18:29:18.763 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8082"]
2020-10-10 18:29:18.764 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-10-10 18:29:18.764 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.29]
2020-10-10 18:29:18.820 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/camera] - Initializing Spring embedded WebApplicationContext
2020-10-10 18:29:18.821 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 647 ms
2020-10-10 18:29:18.942 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-10-10 18:29:18.978 [main] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - Adding welcome page template: index
2020-10-10 18:29:19.054 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8082"]
